ibge_id, uf, name, capital, lon, lat, no_accents, alternative_names, microregion, mesoregion
1100015,RO,Alta Floresta D'Oeste,,-61.9998238963,-11.9355403048,Alta Floresta D'Oeste,,Cacoal,Leste Rondoniense
1100023,RO,Ariquemes,,-63.033269278,-9.9084628666,Ariquemes,,Ariquemes,Leste Rondoniense
1100205,RO,Porto Velho,true,-63.8314456544,-8.76889179,Porto Velho,,Porto Velho,Madeira-Guapor
1200013,AC,Acrelndia,,-67.05231658,-10.0737938925,Acrelandia,,Rio Branco,Vale do Acre
2927408,BA,Salvador,true,-38.488061484,-13.0147719115,Salvador,,Salvador,Metropolitana de Salvador
3550308,SP,So Paulo,true,-46.5703831821,-23.5673865,Sao Paulo,,So Paulo,Metropolitana de So Paulo
